ServiceNo,StopSequence,BusStopCode,Description,MRTBusStop,MRTLine,average_passenger_volume,Latitude,Longitude,outcome
10,66,16011,Opp Haw Par Villa Stn,1,['Circle Line'],101546.33333333333,1.28277766355314,103.78186930413445,keep
10,67,16021,Opp Gloria Mansion,0,,5652.666666666667,1.28625793147796,103.779810276938,keep
10,68,16031,Opp S'pore Science Pk II,0,,44370.0,1.28800629048399,103.77846479413628,keep
10,69,16041,OPP LUXE VILLE,0,,30713.333333333332,1.2893086506189,103.77660095143266,keep
10,70,16051,The Crystal Tabernacle Ch,0,,9636.666666666666,1.29014861601908,103.77426036615236,keep
10,71,16061,Opp Heng Mui Keng Terr,0,,47897.333333333336,1.29046257201356,103.77356171611028,keep
10,72,16071,Opp Pasir Panjang PO,0,,12099.666666666666,1.29129940835907,103.77117221155989,keep
10,73,16081,Aft Palm Green Condo,0,,33379.333333333336,1.29195777797363,103.76866138900289,keep
10,74,16009,Kent Ridge Ter,0,,69520.66666666667,1.29425341056334,103.76988323197696,keep
10,75,16089,Aft Clementi Rd,0,,36834.333333333336,1.29201138346787,103.7690842071612,keep
10,76,16079,Bef Pasir Panjang PO,0,,13869.666666666666,1.29138264862382,103.77129836184209,keep
10,77,16069,Heng Mui Keng Terr,0,,52998.666666666664,1.290648611,103.7736967,keep
10,78,16059,Jamiyah Halfway Hse,0,,11639.333333333334,1.28967266173408,103.77594136139504,keep
10,79,16049,WHITEHAVEN,0,,33800.333333333336,1.28910696351866,103.77738952047318,keep
10,80,16039,S'pore Science Pk II,0,,44139.0,1.28799020188116,103.77872029260048,keep
10,81,16029,Gloria Mansion,0,,5653.0,1.28608472200879,103.78022138902948,keep
10,82,16019,Haw Par Villa Stn,1,['Circle Line'],124326.0,1.28278078585184,103.78217614858188,keep
10,83,16209,HORIZON RESIDENCES,0,,7981.666666666667,1.28159092769912,103.78400650244838,keep
10,84,15229,Bef Sth Buona Vista Rd,0,,40053.0,1.27937638961898,103.78572727156028,keep
10,85,15219,Pasir View Pk,0,,14690.666666666666,1.27818114088895,103.7870103120688,keep
10,86,15209,Bef Pasir Panjang Stn,1,['Circle Line'],17922.0,1.27706561928684,103.79023432729964,keep
10,87,15199,Opp Currency Hse,0,,33722.0,1.27604240853686,103.79318399639808,keep
10,88,15169,HarbourSide Bldg 2,0,,47304.333333333336,1.27481499269165,103.79673994290197,keep
10,89,15159,Mapletree Business City,0,,39889.0,1.27426303773784,103.79839350407596,keep
10,90,15149,Opp Labrador Pk Stn,1,['Circle Line '],24806.0,1.27341871854745,103.80055546758588,keep
10,91,14189,Aft Alexandra Rd,0,,14146.333333333334,1.27269303340787,103.80398363214624,keep
10,92,14179,Yeo's Bldg,0,,15310.333333333334,1.27188454577735,103.80630000533796,keep
10,93,14169,Opp Telok Blangah Stn,1,['Circle Line'],105244.0,1.27118550385957,103.80941810434496,keep
10,94,14159,Bef Chr Community Chapel,0,,50020.666666666664,1.26994046445496,103.81315419081788,keep
10,95,14139,Bef Seah Im Rd,0,,43752.0,1.2686352773503,103.81546952380808,keep
10,96,14129,Harbourfront Stn Exit A,1,['North-East Line'],285303.6666666667,1.26607869101924,103.81977877391114,keep
10,97,14119,Opp VivoCity,0,,131610.0,1.26592360897281,103.8222827803663,keep
10,98,14109,Keppel DP Blk 517,0,,6202.333333333333,1.26804601553507,103.8272249050558,keep
10,99,14089,Opp Tg Pagar DP Blk F5,0,,1170.0,1.27046005041763,103.829792773326,keep
10,100,14069,Former Railway Stn,0,,10195.333333333334,1.272538056,103.8364069,keep
10,101,5641,Bef Cantonment Rd,0,,39380.666666666664,1.27272393115133,103.84140618785226,keep
10,102,3222,Hub Synergy Pt,0,,50708.666666666664,1.27397836925637,103.84489562922414,keep
10,103,3111,Aft Capital Twr,0,,87324.33333333333,1.2778259536079,103.8481011719729,keep
