ServiceNo,ParallelismScore,Rank
105B,0.3294890218424654,279
80A,0.31941026539309797,280
13A,0.3132733603469994,281
46,0.3123832487482164,282
37,0.3068929894996537,283
45A,0.3065652177566984,284
177,0.3045008685149538,285
86A,0.30270717152800386,286
825,0.3017698520360371,287
4,0.3001834626522702,288
171,0.2980387673152523,289
83T,0.295902330241333,290
58B,0.29495447274879444,291
69,0.2942983994837149,292
125A,0.29281699251398413,293
856A,0.2927043524691775,294
861A,0.289478031382615,295
154B,0.280309816548527,296
100A,0.27810611677436187,297
35M,0.26628332462586085,298
112,0.2601915898254768,299
137A,0.2591243250836863,300
154A,0.25855949263509365,301
27A,0.2554167283598034,302
882,0.2546935767594573,303
94A,0.2522106976118331,304
53M,0.2519256886962171,305
150,0.2508935455200074,306
883,0.24561105080211468,307
182M,0.24400667243902951,308
62A,0.24343735349862633,309
182,0.2409480928108108,310
117A,0.23404031339319345,311
189A,0.23388804954292128,312
160A,0.2283500046958285,313
993,0.2278406931226517,314
992,0.22231578101068425,315
102A,0.22017911169252166,316
871,0.21557258057090029,317
973,0.21148195975764728,318
975,0.20773793081201097,319
19,0.20199763458739997,320
42,0.1963188184913075,321
169B,0.19564420442064367,322
139A,0.1947382848584004,323
118B,0.19458084850833476,324
79,0.1886417129441016,325
58A,0.18403960050826987,326
983M,0.1791074921573501,327
35,0.16840919042781224,328
29,0.16334690122197348,329
145A,0.15827692680665126,330
870,0.15539917598914632,331
981,0.1546878902678899,332
991C,0.14955552807833333,333
975C,0.14864010227126567,334
138A,0.14459649724370227,335
163A,0.14288533757292157,336
116A,0.14077197250204362,337
39A,0.13855860603187187,338
248M,0.138149650013697,339
138B,0.13665425745218715,340
856B,0.1349790487604424,341
79T,0.12783180911137002,342
29A,0.1249632529945245,343
163B,0.12385572700223334,344
169A,0.12323420816936928,345
60A,0.11712988663776167,346
9B,0.10875396811906692,347
70B,0.10284908908576744,348
88A,0.09673551984463785,349
925A,0.09651679006092267,350
114A,0.09039340112994335,351
5B,0.08764091749831608,352
114,0.07852805845755924,353
72,0.0782577814110993,354
159B,0.07371454424522786,355
129B,0.0719327982426629,356
113A,0.06891398929523954,357
112A,0.06711346887524317,358
89A,0.06576096283278679,359
86B,0.06131112773066801,360
249A,0.0588746766279936,361
254,0.0578792709637103,362
96,0.04096447419852268,363
96B,0.040388494886186205,364
39B,0.040192536854772774,365
78,0.03932048352772982,366
143M,0.03225599123675929,367
78A,0.03186169239303674,368
51A,0.03079246114803066,369
179A,0.02589784772907145,370
181,0.025220451281968148,371
181M,0.024427934386185072,372
403,0.019711360207883413,373
17A,0.01927280133177768,374
72B,0.01880611306586649,375
72A,0.01746945412122508,376
975A,0.01721298636079724,377
199,0.01709877462547488,378
405,0.01507742009779128,379
115,0.014455773396499111,380
883B,0.013342392514217,381
962C,0.01315425465594409,382
106A,0.012472705556090782,383
927,0.012081649341048691,384
84A,0.01058453499307269,385
178A,0.01046285256307317,386
84W,0.01024420455720804,387
84G,0.010190262195459172,388
68,0.009822043395206878,389
170X,0.009499538915174232,390
975B,0.00917808722367316,391
198A,0.00788902585214198,392
102B,0.007384488769745881,393
34A,0.00705702007300524,394
96A,0.005970656788788511,395
68B,0.00565017998025741,396
6,0.005418048072068191,397
127,0.00529398656306333,398
127A,0.00514431195193851,399
973A,0.00400819468736232,400
68A,0.00391101301033586,401
88B,0.00343617644064279,402
