PT_CODE,TOTAL_VOLUME,Description,Latitude,Longitude,Direction
55509,151854,Yio Chu Kang Int,1.38113241525166,103.8455558816965,1.0
45321,150016,Yew Tee Stn,1.39740269682477,103.74755489070483,1.0
95109,147201,Changi Airport Ter 3,1.35650049529119,103.986352337828,1.0
28099,146489,Opp Lakeside Stn,1.344324,103.719266,1.0
10009,145008,Bt Merah Int,1.28210155945393,103.81722480263164,1.0
85099,144862,Tanah Merah Stn Exit A,1.32684437763421,103.94645987386455,1.0
44031,141760,Aft Bt Panjang Stn,1.37785685552262,103.76232373807856,1.0
7211,141383,Aft Farrer Pk Stn Exit G,1.31313747728456,103.8563561439714,1.0
40019,140766,Little India Stn,1.30664404460339,103.84920416709382,1.0
58211,139747,Sembawang Stn,1.44926202582359,103.81979401898032,1.0
44029,138047,Bt Panjang Stn Exit A/Lrt,1.37863409952448,103.7621954983533,2.0
9047,137375,Orchard Stn/Tang Plaza,1.30446065207443,103.83294467208566,1.0
59049,135253,Opp Khatib Stn,1.41700998157675,103.83339984073773,2.0
67609,135096,Buangkok Stn Exit A,1.38393305306468,103.8930397853008,1.0
14129,132578,Harbourfront Stn Exit A,1.26607869101924,103.81977877391114,2.0
59111,132049,Blk 701,1.43016395103424,103.82888452126694,1.0
11169,131419,C'Wealth Stn Exit B/C,1.30270500001823,103.79838166697326,2.0
54241,131369,Blk 700B,1.36913518643274,103.84618005827468,2.0
28401,131123,Blk 502,1.3506545513673,103.71861401513462,1.0
44539,130759,Lot 1/Choa Chu Kang Stn,1.38463078337388,103.74502387945827,1.0
44259,129574,Blk 183,1.38029564329691,103.76297124601712,1.0
8121,129325,Somerset Stn,1.30027569326586,103.83877618459664,2.0
77039,128886,Pasir Ris Stn Exit B,1.37241,103.948657,1.0
28511,128135,Blk 463,1.35063596491215,103.7237236090261,1.0
67601,127377,Buangkok Stn Exit B,1.38334470717282,103.8932683273077,1.0
92041,127109,Marine Pde Stn Exit 2,1.30327282994495,103.9058301337522,1.0
85091,123216,Tanah Merah Stn Exit B,1.32754912682416,103.9463611980576,2.0
76101,122913,Tampines East CC,1.35303315550855,103.95480210652735,2.0
9219,120086,Far East Plaza,1.30731999685228,103.833160882917,1.0
80089,117988,Bef Lor 18 Geylang,1.312658,103.880111,1.0
17041,116951,Blk 726 Clementi West Mkt,1.3042101570614,103.76455953939508,1.0
81129,116576,Paya Lebar Stn Exit D,1.31631147367096,103.89217268755988,1.0
82061,116462,Eunos Stn/ Int,1.31876162629115,103.9022689641617,1.0
66271,115572,Serangoon Gdn Circus,1.36398333300081,103.86578916701892,1.0
80069,115304,Opp Mohd Salleh Mque,1.31214703288286,103.87715016317216,1.0
11161,115208,C'Wealth Stn Exit A/D,1.30213305598263,103.7983908330214,1.0
82029,113673,Blk 14 Mkt/FC,1.31569833821527,103.89559528546464,2.0
63031,113604,Kovan Stn Exit B,1.36050444441455,103.88535194446015,1.0
42151,112959,Beauty World Stn Exit C,1.34009254981171,103.77531978477352,1.0
76199,112256,BLK 503,1.35660016333768,103.94535428432116,2.0
9022,111781,ORCHARD STN EXIT 13,1.30252834773643,103.83239784275958,2.0
67401,111182,Opp Sengkang Stn/Blk 260A,1.39290842289238,103.89531738456282,1.0
82049,107879,Joo Chiat Cplx,1.31634170548514,103.89891621295058,2.0
83101,107447,Eunos Stn,1.32066709057479,103.90489836683336,1.0
57119,107440,Blk 101,1.43130257113028,103.82688773076856,1.0
59569,107318,Khatib Stn Exit D,1.41849332350079,103.83293900021364,1.0
5049,106309,Chinatown Stn Exit E,1.28531114761754,103.84455070696784,1.0
50038,104687,Novena Stn,1.32033749274601,103.842832976035,1.0
44269,104302,Blk 223,1.37577833299245,103.77422500002577,1.0
28519,103657,Blk 425,1.35058416759245,103.72452492776075,2.0
44261,103574,Blk 270,1.3760822219899,103.774277778025,1.0
53381,103098,Bishan Nth Shop Mall,1.35830432828214,103.84496212009292,2.0
76191,103072,BLK 401,1.3569438864901,103.94477445426702,1.0
59239,102892,,,,
